"TAXOCODE","X3A_CODE","Scientific_name","AphiaID","Match.type","ScientificName","AphiaID_accepted","Kingdom","Phylum","Class","Order","Family","Genus","Subgenus","Species","Subspecies","WoRMSname","English_name","ISSCAAP","CatchGroup","ByCatchGroup"
"17503005XX","BXQ","Makaira spp","126013","exact","Makaira","126013","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Makaira","","",,"Makaira","Marlins nei","36","large pelagic",
"69401003XX","WBX","Holothuria spp","123456","exact","Holothuria","123456","Animalia","Echinodermata","Holothuroidea","Aspidochirotida","Holothuriidae","Holothuria","","",,"Holothuria","","76","other",
"22810XXXXX","VWX","Oplophoridae","106786","exact","Oplophoridae","106786","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","","","",,"Oplophoridae","","45","crustaceans",
"22830XXXXX","WJX","Nematocarcinidae","106784","exact","Nematocarcinidae","106784","Animalia","Arthropoda","Malacostraca","Decapoda","Nematocarcinidae","","","",,"Nematocarcinidae","","45","crustaceans",
"77110001XX","QWX","Sargassum spp","144132","exact","Sargassum","144132","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Sargassum","","",,"Sargassum","","91","other",
"78705015XX","QVX","Meristotheca spp","144179","exact","Meristotheca","144179","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Solieriaceae","Meristotheca","","",,"Meristotheca","","92","other",
"14002016XX","WDX","Carassius spp","154296","exact","Carassius","154296","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Carassius","","",,"Carassius","","11","other",
"14118087XX","WIX","Heterobranchus spp","269389","exact","Heterobranchus","269389","Animalia","Chordata","Actinopterygii","Siluriformes","Clariidae","Heterobranchus","","",,"Heterobranchus","Heterobranchus catfish nei","13","other",
"17719002XX","QRX","Parachanna spp","270193","exact","Parachanna","270193","Animalia","Chordata","Actinopterygii","Perciformes","Channidae","Parachanna","","",,"Parachanna","Parachanna snakeheads nei","13","other",
"32111015XX","FQX","Histioteuthis spp","138074","exact","Histioteuthis","138074","Animalia","Mollusca","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis","","",,"Histioteuthis","","57","molluscs",
"14806021XX","QMX","Nezumia spp","125754","exact","Nezumia","125754","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Nezumia","","",,"Nezumia","","32","demersal",
"14806022XX","QKX","Malacocephalus spp","125753","exact","Malacocephalus","125753","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Malacocephalus","","",,"Malacocephalus","","32","demersal",
"15103022XX","IXX","Notopogon spp","206571","exact","Notopogon","206571","Animalia","Chordata","Actinopterygii","Syngnathiformes","Centriscidae","Notopogon","","",,"Notopogon","","34","demersal",
"17002208XX","IWX","Plectropomus spp","205015","exact","Plectropomus","205015","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Plectropomus","","",,"Plectropomus","Coralgroupers nei","33","demersal",
"10901017XX","QUX","Scymnodon spp","105778","exact","Scymnodon","105778","Animalia","Chordata","Elasmobranchii","Squaliformes","Somniosidae","Scymnodon","","",,"Scymnodon","Scymnodon dogfishes nei","38","elasmobranchs",
"12105013XX","JNX","Sardinops spp","203974","exact","Sardinops","203974","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","","",,"Sardinops","Pilchards nei","35","small pelagic",
"23143088XX","GYX","Geryon spp","106918","exact","Geryon","106918","Animalia","Arthropoda","Malacostraca","Decapoda","Geryonidae","Geryon","","",,"Geryon","Geryons nei","42","crustaceans",
"17213XXXXX","VYX","Uranoscopidae","125573","exact","Uranoscopidae","125573","Animalia","Chordata","Actinopterygii","Perciformes","Uranoscopidae","","","",,"Uranoscopidae","Stargazers nei","34","demersal",
"17713XXXXX","VVX","Tripterygiidae","125572","exact","Tripterygiidae","125572","Animalia","Chordata","Actinopterygii","Perciformes","Tripterygiidae","","","",,"Tripterygiidae","Threefin blennies nei","33","demersal",
"17602021XX","QJX","Tetragonurus spp","126093","exact","Tetragonurus","126093","Animalia","Chordata","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus","","",,"Tetragonurus","Squaretails nei","37","small pelagic",
"15106XXXXX","VUX","Syngnathidae","125606","exact","Syngnathidae","125606","Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae","","","",,"Syngnathidae","Pipefishes, seahorses nei","33","demersal",
"17208XXXXX","JIX","Percophidae","151412","exact","Percophidae","151412","Animalia","Chordata","Actinopterygii","Perciformes","Percophidae","","","",,"Percophidae","Duckbills nei","33","demersal",
"14502XXXXX","JDX","Notacanthidae","125501","exact","Notacanthidae","125501","Animalia","Chordata","Actinopterygii","Notacanthiformes","Notacanthidae","","","",,"Notacanthidae","Deep-sea spiny eels nei","34","demersal",
"17606XXXXX","VTX","Nomeidae","125548","exact","Nomeidae","125548","Animalia","Chordata","Actinopterygii","Perciformes","Nomeidae","","","",,"Nomeidae","Driftfishes nei","37","small pelagic",
"14308XXXXX","IVX","Moringuidae","151813","exact","Moringuidae","151813","Animalia","Chordata","Actinopterygii","Anguilliformes","Moringuidae","","","",,"Moringuidae","Spaghetti eels nei","33","demersal",
"14309XXXXX","IKX","Muraenesocidae","125430","exact","Muraenesocidae","125430","Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenesocidae","","","",,"Muraenesocidae","","34","demersal",
"16501009XX","GXE","Cestraeus spp","268691","exact","Cestraeus","268691","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","Cestraeus","","",,"Cestraeus","River mullets nei","33","demersal",
"13801009XX","VXX","Astyanax spp","268424","exact","Astyanax","268424","Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Astyanax","","",,"Astyanax","Astyanax nei","13","other",
"143XXXXXXX","XAX","Anguilliformes","10295","exact","Anguilliformes","10295","Animalia","Chordata","Actinopterygii","Anguilliformes","","","","",,"Anguilliformes","Eels, morays, congers nei","34","demersal",
"31606006XX","IZX","Pinctada spp","138396","exact","Pinctada","138396","Animalia","Mollusca","Bivalvia","Pterioida","Pteriidae","Pinctada","","",,"Pinctada","Pearl oysters nei","81","other",
"30705002XX","UXS","Turbo spp","151576","exact","Turbo","151576","Animalia","Mollusca","Gastropoda","","Turbinidae","Turbo","","",,"Turbo","Turbans nei","52","molluscs",
"19008XXXXX","JHX","Molidae","125609","exact","Molidae","125609","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Molidae","","","",,"Molidae","Ocean sunfishes nei","37","small pelagic",
